Year;Facial Hair Style;Number
1914;Goatee;0
1914;Muttonchops;0
1922;Moustache (with Sideburns);0
1922;Goatee;0
1926;Cleanshaven;744
1931;Sideburns;3
1934;Sideburns;0
1937;Moustache (with Sideburns);0
1939;Goatee;0
1943;Sideburns;0
1948;Moustache (with Muttonchops);0
1949;Sideburns;0
1954;Muttonchops;0
1960;Moustache;13
1961;Moustache (with Sideburns);0
1962;Moustache (with Muttonchops);0
1977;Moustache (with Muttonchops);41
1979;Full Beard/Chinstrap;120
1982;Sideburns;47
1985;Full Beard/Chinstrap;75
1987;Full Beard/Chinstrap;53
1990;Moustache (with Muttonchops);0
1991;Full Beard/Chinstrap;16
1993;Moustache (with Sideburns);0
1994;Moustache;31
1996;Cleanshaven;626
1997;Moustache;11
1999;Moustache;8
2002;Moustache (with Sideburns);0
2002;Goatee;28
2004;Goatee;61
1900;Full Beard/Chinstrap;0
1908;Moustache;12
1916;Moustache (with Sideburns);0
1916;Sideburns;0
1920;Full Beard/Chinstrap;0
1923;Full Beard/Chinstrap;0
1927;Moustache (with Muttonchops);0
1929;Cleanshaven;781
1942;Goatee;0
1943;Moustache;47
1946;Full Beard/Chinstrap;0
1946;Moustache;43
1952;Moustache;52
1954;Sideburns;0
1957;Moustache (with Muttonchops);0
1963;Sideburns;0
1964;Moustache (with Muttonchops);0
1965;Goatee;2
1969;Moustache (with Muttonchops);11
1979;Moustache;86
1982;Moustache (with Sideburns);35
1984;Moustache;195
2000;Full Beard/Chinstrap;50
2004;Moustache (with Sideburns);0
1899;Moustache (with Muttonchops);0
1908;Muttonchops;0
1909;Moustache (with Sideburns);0
1911;Moustache (with Sideburns);0
1913;Full Beard/Chinstrap;0
1915;Moustache;8
1923;Moustache (with Sideburns);0
1924;Full Beard/Chinstrap;0
1926;Sideburns;0
1929;Sideburns;0
1932;Muttonchops;0
1934;Cleanshaven;821
1935;Moustache;89
1936;Moustache (with Sideburns);0
1941;Full Beard/Chinstrap;0
1946;Cleanshaven;691
1955;Moustache;33
1957;Moustache (with Sideburns);0
1958;Goatee;0
1966;Moustache (with Sideburns);0
1967;Full Beard/Chinstrap;17
1969;Sideburns;415
1970;Sideburns;472
1983;Moustache (with Sideburns);28
1983;Muttonchops;1
1985;Moustache (with Muttonchops);0
1989;Moustache;66
1996;Moustache (with Muttonchops);0
1998;Sideburns;85
2001;Moustache (with Sideburns);0
2001;Cleanshaven;347
2002;Cleanshaven;232
2003;Moustache (with Muttonchops);0
1901;Moustache (with Muttonchops);0
1901;Sideburns;0
1904;Muttonchops;0
1908;Goatee;0
1909;Goatee;0
1913;Cleanshaven;474
1919;Moustache (with Muttonchops);0
1919;Full Beard/Chinstrap;0
1920;Moustache;26
1921;Cleanshaven;640
1929;Goatee;0
1932;Sideburns;2
1933;Moustache (with Muttonchops);0
1933;Moustache;103
1935;Moustache (with Sideburns);0
1936;Cleanshaven;916
1948;Full Beard/Chinstrap;0
1949;Goatee;1
1955;Muttonchops;0
1956;Muttonchops;0
1961;Moustache (with Muttonchops);0
1962;Muttonchops;0
1972;Moustache (with Sideburns);67
1973;Sideburns;208
1976;Goatee;8
1977;Sideburns;168
1989;Muttonchops;0
1997;Sideburns;70
2001;Moustache;6
2008;Moustache (with Sideburns);0
1903;Moustache (with Sideburns);0
1904;Cleanshaven;368
1904;Moustache;22
1908;Sideburns;0
1908;Full Beard/Chinstrap;0
1911;Cleanshaven;467
1916;Full Beard/Chinstrap;0
1925;Moustache (with Sideburns);0
1927;Full Beard/Chinstrap;0
1930;Full Beard/Chinstrap;0
1931;Moustache (with Muttonchops);0
1931;Full Beard/Chinstrap;0
1944;Muttonchops;0
1946;Moustache (with Muttonchops);0
1950;Moustache;116
1951;Moustache (with Sideburns);0
1953;Moustache (with Sideburns);0
1956;Moustache (with Muttonchops);0
1967;Goatee;8
1973;Cleanshaven;99
1973;Full Beard/Chinstrap;100
1974;Moustache (with Sideburns);107
1974;Moustache;56
1978;Cleanshaven;273
1980;Moustache (with Muttonchops);11
1980;Sideburns;96
1984;Goatee;2
1990;Sideburns;3
1996;Sideburns;59
2003;Cleanshaven;231
1898;Full Beard/Chinstrap;2
1899;Sideburns;0
1900;Moustache (with Sideburns);0
1901;Full Beard/Chinstrap;0
1903;Goatee;0
1903;Muttonchops;0
1911;Muttonchops;0
1912;Moustache;7
1921;Goatee;0
1929;Muttonchops;0
1934;Moustache (with Muttonchops);0
1935;Sideburns;0
1940;Moustache (with Muttonchops);0
1949;Muttonchops;0
1957;Goatee;0
1963;Moustache (with Sideburns);0
1966;Sideburns;2
1969;Goatee;10
1972;Muttonchops;453
1974;Muttonchops;420
1980;Moustache;104
1984;Sideburns;26
1985;Moustache (with Sideburns);5
1988;Sideburns;2
1990;Cleanshaven;461
1990;Moustache;59
1992;Moustache (with Muttonchops);0
1999;Muttonchops;0
1999;Cleanshaven;533
2005;Sideburns;110
1903;Cleanshaven;319
1911;Full Beard/Chinstrap;0
1914;Cleanshaven;610
1917;Moustache (with Sideburns);0
1919;Moustache (with Sideburns);0
1920;Cleanshaven;399
1923;Moustache;102
1925;Goatee;0
1928;Full Beard/Chinstrap;0
1933;Goatee;0
1934;Goatee;0
1937;Muttonchops;0
1940;Full Beard/Chinstrap;0
1944;Moustache (with Sideburns);0
1950;Sideburns;1
1951;Cleanshaven;1111
1951;Moustache;83
1954;Moustache;32
1956;Moustache;21
1958;Sideburns;0
1965;Sideburns;1
1967;Cleanshaven;1284
1967;Moustache;5
1969;Full Beard/Chinstrap;29
1971;Full Beard/Chinstrap;68
1975;Moustache (with Sideburns);127
1976;Muttonchops;71
1982;Moustache;168
1989;Moustache (with Sideburns);1
1993;Moustache;40
1995;Moustache;18
1997;Full Beard/Chinstrap;19
1998;Moustache (with Sideburns);1
2000;Moustache;9
2001;Sideburns;62
2002;Muttonchops;4
2004;Cleanshaven;353
1909;Muttonchops;0
1909;Moustache;11
1926;Full Beard/Chinstrap;0
1930;Moustache (with Sideburns);0
1934;Muttonchops;0
1935;Full Beard/Chinstrap;0
1943;Cleanshaven;1183
1946;Sideburns;0
1948;Cleanshaven;1044
1961;Sideburns;1
1965;Cleanshaven;1279
1966;Full Beard/Chinstrap;5
1970;Moustache (with Muttonchops);41
1981;Goatee;4
1981;Moustache;157
1984;Full Beard/Chinstrap;123
1986;Sideburns;3
1987;Goatee;2
1988;Moustache (with Sideburns);0
1995;Moustache (with Muttonchops);0
1995;Goatee;17
1997;Goatee;41
2006;Full Beard/Chinstrap;18
2008;Full Beard/Chinstrap;20
1899;Moustache (with Sideburns);0
1903;Sideburns;0
1904;Moustache (with Muttonchops);0
1916;Moustache (with Muttonchops);0
1918;Moustache (with Muttonchops);0
1918;Cleanshaven;307
1920;Muttonchops;0
1921;Full Beard/Chinstrap;0
1922;Sideburns;0
1923;Sideburns;2
1924;Moustache (with Sideburns);0
1927;Goatee;0
1930;Muttonchops;0
1942;Cleanshaven;1283
1944;Cleanshaven;735
1959;Full Beard/Chinstrap;7
1964;Muttonchops;0
1972;Moustache (with Muttonchops);171
1974;Goatee;18
1976;Moustache;56
1977;Full Beard/Chinstrap;111
1983;Sideburns;44
1985;Sideburns;6
1985;Cleanshaven;639
1986;Full Beard/Chinstrap;64
1987;Moustache (with Sideburns);0
1990;Muttonchops;0
1991;Moustache (with Muttonchops);0
1993;Cleanshaven;931
1994;Sideburns;40
1999;Full Beard/Chinstrap;13
2002;Full Beard/Chinstrap;6
2006;Goatee;26
1898;Cleanshaven;173
1898;Moustache;80
1900;Muttonchops;0
1902;Moustache (with Sideburns);0
1904;Sideburns;0
1905;Sideburns;0
1905;Muttonchops;0
1909;Moustache (with Muttonchops);0
1909;Sideburns;0
1910;Moustache (with Sideburns);0
1910;Muttonchops;0
1910;Cleanshaven;494
1910;Full Beard/Chinstrap;1
1917;Goatee;0
1917;Moustache;16
1918;Goatee;0
1923;Cleanshaven;885
1928;Cleanshaven;748
1931;Moustache;123
1933;Moustache (with Sideburns);0
1943;Moustache (with Muttonchops);0
1944;Moustache;44
1947;Full Beard/Chinstrap;1
1952;Moustache (with Muttonchops);0
1954;Moustache (with Sideburns);0
1957;Sideburns;2
1957;Cleanshaven;962
1959;Cleanshaven;947
1960;Sideburns;1
1962;Moustache;17
1966;Cleanshaven;1243
1966;Moustache;20
1971;Moustache (with Muttonchops);97
1975;Full Beard/Chinstrap;153
1976;Full Beard/Chinstrap;119
1980;Moustache (with Sideburns);60
1981;Sideburns;65
1982;Moustache (with Muttonchops);4
1983;Moustache (with Muttonchops);2
1983;Cleanshaven;579
1984;Cleanshaven;587
1985;Moustache;145
1994;Full Beard/Chinstrap;19
2001;Full Beard/Chinstrap;10
2004;Sideburns;91
2006;Moustache (with Muttonchops);0
2007;Moustache (with Sideburns);0
1906;Muttonchops;0
1907;Full Beard/Chinstrap;0
1910;Moustache;12
1911;Moustache;1
1913;Goatee;0
1927;Sideburns;0
1931;Muttonchops;0
1938;Sideburns;0
1941;Moustache (with Muttonchops);0
1943;Moustache (with Sideburns);0
1943;Goatee;0
1945;Goatee;0
1946;Moustache (with Sideburns);0
1952;Sideburns;2
1952;Goatee;0
1955;Cleanshaven;801
1961;Full Beard/Chinstrap;2
1966;Goatee;2
1973;Moustache (with Sideburns);69
1973;Goatee;14
1974;Sideburns;303
1975;Sideburns;318
1975;Moustache;98
1977;Goatee;7
1977;Cleanshaven;237
1980;Full Beard/Chinstrap;133
1990;Full Beard/Chinstrap;15
1994;Moustache (with Muttonchops);0
1997;Moustache (with Sideburns);0
2005;Moustache;1
1906;Goatee;0
1915;Muttonchops;0
1917;Moustache (with Muttonchops);0
1919;Moustache;15
1922;Cleanshaven;689
1926;Goatee;0
1929;Moustache (with Sideburns);0
1932;Cleanshaven;882
1939;Full Beard/Chinstrap;0
1945;Moustache;40
1950;Goatee;0
1952;Muttonchops;0
1957;Muttonchops;0
1963;Moustache (with Muttonchops);0
1965;Full Beard/Chinstrap;6
1968;Moustache;9
1970;Muttonchops;302
1972;Goatee;35
1977;Moustache;96
1980;Cleanshaven;312
1982;Goatee;4
1982;Muttonchops;6
1986;Muttonchops;0
1986;Cleanshaven;691
1992;Sideburns;16
1995;Moustache (with Sideburns);0
1995;Sideburns;54
1998;Muttonchops;1
2008;Moustache;1
1898;Muttonchops;1
1902;Full Beard/Chinstrap;0
1904;Moustache (with Sideburns);0
1905;Moustache;28
1913;Muttonchops;0
1915;Goatee;0
1917;Full Beard/Chinstrap;0
1926;Moustache (with Sideburns);0
1928;Sideburns;0
1936;Moustache;82
1937;Sideburns;0
1937;Full Beard/Chinstrap;0
1938;Moustache (with Sideburns);0
1938;Full Beard/Chinstrap;0
1940;Moustache;94
1941;Goatee;0
1942;Sideburns;1
1945;Moustache (with Muttonchops);0
1948;Muttonchops;0
1955;Moustache (with Sideburns);0
1968;Full Beard/Chinstrap;24
1975;Cleanshaven;218
1983;Goatee;4
1983;Full Beard/Chinstrap;116
1984;Muttonchops;3
1991;Sideburns;4
1993;Full Beard/Chinstrap;22
1998;Moustache (with Muttonchops);0
2008;Cleanshaven;127
1900;Goatee;0
1901;Cleanshaven;259
1910;Sideburns;0
1912;Goatee;1
1912;Muttonchops;0
1915;Cleanshaven;544
1925;Full Beard/Chinstrap;0
1926;Muttonchops;0
1928;Moustache (with Sideburns);0
1929;Full Beard/Chinstrap;0
1937;Moustache;66
1939;Moustache (with Muttonchops);0
1940;Goatee;0
1941;Moustache (with Sideburns);0
1958;Moustache (with Sideburns);0
1965;Muttonchops;0
1965;Moustache;7
1968;Moustache (with Sideburns);3
1968;Moustache (with Muttonchops);2
1970;Moustache (with Sideburns);24
1971;Cleanshaven;247
1972;Sideburns;289
1977;Moustache (with Sideburns);95
1982;Full Beard/Chinstrap;162
1987;Cleanshaven;604
1989;Goatee;0
1991;Muttonchops;1
1994;Muttonchops;1
1997;Moustache (with Muttonchops);0
1904;Full Beard/Chinstrap;0
1907;Moustache;15
1912;Full Beard/Chinstrap;0
1913;Moustache;2
1918;Full Beard/Chinstrap;0
1921;Moustache (with Sideburns);0
1921;Moustache (with Muttonchops);0
1923;Moustache (with Muttonchops);0
1927;Muttonchops;0
1939;Moustache (with Sideburns);0
1941;Sideburns;0
1942;Moustache (with Sideburns);0
1944;Full Beard/Chinstrap;0
1951;Muttonchops;0
1953;Sideburns;0
1956;Sideburns;1
1959;Moustache (with Sideburns);0
1960;Goatee;1
1964;Moustache (with Sideburns);0
1964;Goatee;1
1964;Moustache;10
1970;Moustache;12
1971;Muttonchops;458
1977;Muttonchops;59
1980;Goatee;0
1987;Sideburns;4
1991;Moustache (with Sideburns);0
1993;Moustache (with Muttonchops);0
2002;Moustache (with Muttonchops);0
2004;Moustache;1
2006;Moustache;1
2007;Moustache (with Muttonchops);0
1898;Sideburns;2
1900;Moustache;59
1903;Moustache;38
1905;Goatee;0
1906;Full Beard/Chinstrap;0
1911;Sideburns;0
1912;Sideburns;0
1917;Cleanshaven;423
1921;Moustache;47
1925;Sideburns;0
1930;Goatee;0
1932;Moustache (with Sideburns);0
1937;Moustache (with Muttonchops);0
1937;Goatee;0
1939;Sideburns;0
1939;Cleanshaven;1282
1942;Moustache (with Muttonchops);0
1945;Muttonchops;0
1945;Cleanshaven;721
1947;Moustache (with Sideburns);0
1947;Goatee;0
1947;Muttonchops;0
1953;Moustache;44
1954;Cleanshaven;833
1955;Full Beard/Chinstrap;1
1956;Cleanshaven;931
